挨着	挨著	āi zhe	near;  	[sound:cmn-挨着.mp3]
补习	補習	bǔ xí	to take extra lessons in a cram school or with a private tutor;  	[sound:cmn-补习.mp3]
补助	補助	bǔ zhù	to subsidize; subsidy; allowance;  	[sound:cmn-补助.mp3]
捕	捕	bǔ	to catch; to seize; to capture;  	[sound:cmn-捕.mp3]
不成	不成	bù chéng	won't do; unable to; (at the end of a rhetorical question) can that be?;  	[sound:cmn-不成.mp3]
不禁	不禁	bù jīn	can't help (doing sth); can't refrain from;  	[sound:cmn-不禁.mp3]
不仅仅	不僅僅	bùjǐnjǐn	Not only	[sound:cmn-不仅仅.mp3]
不通	不通	bù tōng	to be obstructed; to be blocked up; to be impassable; to make no sense; to be illogical;  	[sound:cmn-不通.mp3]
不怎么	不怎麼	bù zěn me	not very; not particularly;  	[sound:cmn-不怎么.mp3]
不怎么样	不怎麼樣	bù zěn me yàng	not up to much; very indifferent; nothing great about it; nothing good to be said about it;  	[sound:cmn-不怎么样.mp3]
不值	不值	bù zhí	not worth;  	[sound:cmn-不值.mp3]
布满	布滿	bù mǎn	to be covered with; to be filled with;  	[sound:cmn-布满.mp3]
部队	部隊	bù duì	army; armed forces; troops; force; unit; CL:個|个[ge4];  	[sound:cmn-部队.mp3]
采纳	采納	cǎi nà	to accept; to adopt;  	[sound:cmn-采纳.mp3]
踩	踩	cǎi, cǎi	to step on; to tread; to stamp; to press a pedal; to pedal (a bike);  	[sound:cmn-踩.mp3]
参赛	參賽	cān sài	to compete; to take part in a competition;  	[sound:cmn-参赛.mp3]
参展	參展	cān zhǎn	to exhibit at or take part in a trade show etc;  	[sound:cmn-参展.mp3]
餐	餐	cān	meal; to eat; classifier for meals;  	[sound:cmn-餐.mp3]
残疾	殘疾	cán jí	disabled; handicapped; deformity on a person or animal;  	[sound:cmn-残疾.mp3]
残疾人	殘疾人	cán jí rén	disabled person;  	[sound:cmn-残疾人.mp3]
残酷	殘酷	cán kù	cruel; cruelty;  	[sound:cmn-残酷.mp3]
惨	慘	cǎn	miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy;  	[sound:cmn-惨.mp3]
