挨着	挨著	āi zhe	near;  	[sound:cmn-挨着.mp3]
风暴	風暴	fēng bào	storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc);  	[sound:cmn-风暴.mp3]
峰会	峰會	fēng huì	summit meeting;  	[sound:cmn-峰会.mp3]
奉献	奉獻	fèng xiàn	to offer respectfully; to consecrate; to dedicate; to devote;  	[sound:cmn-奉献.mp3]
佛	佛	Fó, fú, fú	Buddha; Buddhism;  (female) head ornament; variant of 彿|佛[fu2];  	[sound:cmn-佛.mp3]
佛教	佛教	Fó jiào	Buddhism;  	[sound:cmn-佛教.mp3]
服	服	fú, fù	clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes;  dose (measure word for medicine); Taiwan pr. [fu2];  	[sound:cmn-服.mp3]
浮	浮	fú	to float; superficial; floating; unstable; movable; provisional; temporary; transient; impetuous; hollow; inflated; to exceed; superfluous; excessive; surplus;  	[sound:cmn-浮.mp3]
父女	父女	fù nǚ	father and daughter;  	[sound:cmn-父女.mp3]
父子	父子	fù zǐ	father and son;  	[sound:cmn-父子.mp3]
负	負	fù	to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc);  	[sound:cmn-负.mp3]
妇女	婦女	fù nǚ	woman;  	[sound:cmn-妇女.mp3]
复苏	復蘇	fù sū, fù sū	variant of 復甦|复苏[fu4 su1]; to recover (health, economic); to resuscitate; anabiosis;  	[sound:cmn-复苏.mp3]
副	副	fù	secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions;  	[sound:cmn-副.mp3]
副	副	fù	secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions;  	[sound:cmn-副.mp3]
富人	富人	fù rén	rich man;  	[sound:cmn-富人.mp3]
富有	富有	fù yoǔ	rich; full of;  	[sound:cmn-富有.mp3]
改装	改裝	gǎi zhuāng	to change one's costume; to repackage; to remodel; to refit; to modify; to convert;  	[sound:cmn-改装.mp3]
干涉	乾涉	gān shè	to interfere; to meddle; interference;  	[sound:cmn-干涉.mp3]
肝	肝	gān	liver; CL:葉|叶[ye4],個|个[ge4];  	[sound:cmn-肝.mp3]
杆	杆	gān, gǎn	pole; CL:條|条[tiao2],根[gen1];  stick; pole; lever; classifier for long objects such as guns;  	[sound:cmn-杆.mp3]
赶不上	趕不上	gǎn bù shàng	can't keep up with; can't catch up with; cannot overtake;  	[sound:cmn-赶不上.mp3]
赶忙	趕忙	gǎn máng	to hurry; to hasten; to make haste;  	[sound:cmn-赶忙.mp3]
赶上	趕上	gǎn shàng	to keep up with; to catch up with; to overtake; to chance upon; in time for;  	[sound:cmn-赶上.mp3]
敢于	敢於	gǎn yú	to have the courage to do sth; to dare to; bold in;  	[sound:cmn-敢于.mp3]
感人	感人	gǎn rén	touching; moving;  	[sound:cmn-感人.mp3]
刚好	剛好	gāng hǎo	just; exactly; to happen to be;  	[sound:cmn-刚好.mp3]
岗位	崗位	gǎng wèi	a post; a job;  	[sound:cmn-岗位.mp3]
港口	港口	gǎng koǔ	port; harbor;  	[sound:cmn-港口.mp3]
高层	高層	gāo céng	high level; high class;  	[sound:cmn-高层.mp3]
高档	高檔	gāo dàng	superior quality; high grade; top grade;  	[sound:cmn-高档.mp3]
高等	高等	gāo děng	higher; high level; advanced;  	[sound:cmn-高等.mp3]
高峰	高峰	gāo fēng	peak; summit; height;  	[sound:cmn-高峰.mp3]
高考	高考	gāo kǎo	college entrance exam (especially as abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[Pu3 tong1 Gao1 deng3 Xue2 xiao4 Zhao1 sheng1 Quan2 guo2 Tong3 yi1 Kao3 shi4]); entrance exam for senior government service posts (Taiwan);  	[sound:cmn-高考.mp3]
高科技	高科技	gāo kē jì	high tech; high technology;  	[sound:cmn-高科技.mp3]
高手	高手	gāo shoǔ	expert; past master; dab hand;  	[sound:cmn-高手.mp3]
稿子	稿子	gǎo zi	draft of a document; script; manuscript; mental plan; precedent;  	[sound:cmn-稿子.mp3]
歌唱	歌唱	gē chàng	to sing;  	[sound:cmn-歌唱.mp3]
歌词	歌詞	gē cí	song lyric; lyrics;  	[sound:cmn-歌词.mp3]
歌星	歌星	gē xīng	singing star; famous singer;  	[sound:cmn-歌星.mp3]
革新	革新	gé xīn	to innovate; innovation;  	[sound:cmn-革新.mp3]
更是	更是	gèngshì	even more	[sound:cmn-更是.mp3]
工商	工商	gōng shāng	industry and commerce;  	[sound:cmn-工商.mp3]
公	公	gōng	public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal);  	[sound:cmn-公.mp3]
公安	公安	gōng ān	(Ministry of) Public Security; public safety; public security;  	[sound:cmn-公安.mp3]
公鸡	公雞	gōng jī	cock; rooster;  	[sound:cmn-公鸡.mp3]
公众	公眾	gōng zhòng	public;  	[sound:cmn-公众.mp3]
公主	公主	gōng zhǔ	princess;  	[sound:cmn-公主.mp3]
攻击	攻擊	gōng jī	to attack; to accuse; to charge; an attack (terrorist or military);  	[sound:cmn-攻击.mp3]
供给	供給	gōng jǐ	to furnish; to provide; supply (as in supply and demand);  	[sound:cmn-供给.mp3]
宫	宮	Gōng, gōng	surname Gong;  palace; temple; castration (as corporal punishment); first note in pentatonic scale;  	[sound:cmn-宫.mp3]
巩固	鞏固	gǒng gù	to consolidate; consolidation; to strengthen;  	[sound:cmn-巩固.mp3]
贡献	貢獻	gòng xiàn	to contribute; to dedicate; to devote; contribution; CL:個|个[ge4];  	[sound:cmn-贡献.mp3]
构建	構建	goù jiàn	to construct (sth abstract);  	[sound:cmn-构建.mp3]
孤独	孤獨	gū dú	lonely; solitary;  	[sound:cmn-孤独.mp3]
孤儿	孤兒	gū ér	orphan;  	[sound:cmn-孤儿.mp3]
姑姑	姑姑	gū gu	paternal aunt; CL:個|个[ge4];  	[sound:cmn-姑姑.mp3]
古典	古典	gǔ diǎn	classical;  	[sound:cmn-古典.mp3]
股	股	gǔ	thigh; part of a whole; portion of a sum; (stock) share; strand of a thread; low-level administrative unit, translated as 'section' or 'department' etc, ranked below 科[ke1]; classifier for long winding things like ropes, rivers etc; classifier for smoke, smells etc: thread, puff, whiff; classifier for bands of people, gangs etc; classifier for sudden forceful actions;  	[sound:cmn-股.mp3]
股东	股東	gǔ dōng	shareholder; stockholder;  	[sound:cmn-股东.mp3]
股票	股票	gǔ piào	share certificate; stock (finance);  	[sound:cmn-股票.mp3]
故障	故障	gù zhàng	malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software);  	[sound:cmn-故障.mp3]
顾	顧	Gù, gù	surname Gu;  to look after; to take into consideration; to attend to;  	[sound:cmn-顾.mp3]
刮	颳	guā, guā	to blow (of the wind);  	[sound:cmn-刮.mp3]
拐	拐	guǎi	to turn (a corner etc); to kidnap; to swindle; to misappropriate; walking stick; crutch; seven (used as a substitute for 七[qi1]);  	[sound:cmn-拐.mp3]
关爱	關愛	guān ài	to show concern and care for;  	[sound:cmn-关爱.mp3]
关联	關聯	guān lián	related; linked; affiliated;  	[sound:cmn-关联.mp3]
观光	觀光	guān guāng	to tour; sightseeing; tourism;  	[sound:cmn-观光.mp3]
官司	官司	guān si	lawsuit; CL:場|场[chang2];  	[sound:cmn-官司.mp3]
管道	管道	guǎn dào	tubing; pipeline; (fig.) channel; means;  	[sound:cmn-管道.mp3]
光辉	光輝	guāng huī	radiance; glory; brilliant; magnificent;  	[sound:cmn-光辉.mp3]
广阔	廣闊	guǎng kuò	wide; vast;  	[sound:cmn-广阔.mp3]
轨道	軌道	guǐ dào	orbit; railway or tram line; fig. conventional way of thinking;  	[sound:cmn-轨道.mp3]
跪	跪	guì	to kneel;  	[sound:cmn-跪.mp3]
国产	國産	guó chǎn	made in one's own country; made in China;  	[sound:cmn-国产.mp3]
国歌	國歌	guó gē	national anthem;  	[sound:cmn-国歌.mp3]
国会	國會	guó huì	parliament; Congress; diet;  	[sound:cmn-国会.mp3]
国旗	國旗	guó qí	flag (of a country); CL:面[mian4];  	[sound:cmn-国旗.mp3]
国王	國王	guó wáng	king; CL:個|个[ge4];  	[sound:cmn-国王.mp3]
果酱	果醬	guǒ jiàng	jam;  	[sound:cmn-果酱.mp3]
果树	果樹	guǒ shù	fruit tree; CL:棵[ke1];  	[sound:cmn-果树.mp3]
过渡	過渡	guò dù	to cross over (by ferry); transition; interim; caretaker (administration);  	[sound:cmn-过渡.mp3]
过后	過後	guò hoù	after the event;  	[sound:cmn-过后.mp3]
过时	過時	guò shí	old-fashioned; out of date; to be later than the time stipulated or agreed upon;  	[sound:cmn-过时.mp3]
海报	海報	hǎi bào	poster; playbill; notice;  	[sound:cmn-海报.mp3]
海底	海底	hǎi dǐ	seabed; seafloor; bottom of the ocean;  	[sound:cmn-海底.mp3]
海军	海軍	hǎi jūn	navy;  	[sound:cmn-海军.mp3]
海浪	海浪	hǎi làng	sea wave;  	[sound:cmn-海浪.mp3]
海外	海外	hǎi wài	overseas; abroad;  	[sound:cmn-海外.mp3]
海湾	海灣	Hǎi wān, hǎi wān	(Persian) Gulf;  bay; gulf (body of water);  	[sound:cmn-海湾.mp3]
海洋	海洋	hǎi yáng	ocean; CL:個|个[ge4];  	[sound:cmn-海洋.mp3]
好容易	好容易	hǎo róng yì	with great difficulty; to have a hard time (convincing sb, relinquishing sth etc);  	[sound:cmn-好容易.mp3]
好似	好似	hǎo sì	to seem; to be like;  	[sound:cmn-好似.mp3]
好转	好轉	hǎo zhuǎn	to improve; to take a turn for the better; improvement;  	[sound:cmn-好转.mp3]
好学	好學	hào xué	eager to study; studious; erudite;  	[sound:cmn-好学.mp3]
合约	閤約	hé yuē	treaty; contract;  	[sound:cmn-合约.mp3]
和谐	和諧	hé xié	harmonious; harmony; (euphemism) to censor;  	[sound:cmn-和谐.mp3]
核心	核心	hé xīn	core; nucleus;  	[sound:cmn-核心.mp3]
黑夜	黑夜	hēi yè	night;  	[sound:cmn-黑夜.mp3]
很难说	很難說	hěnnánshuō	Hard to say	[sound:cmn-很难说.mp3]
狠	狠	hěn	fierce; very;  	[sound:cmn-狠.mp3]
横	橫	héng, hèng	horizontal; across; (horizontal character stroke);  harsh and unreasonable; unexpected;  	[sound:cmn-横.mp3]
衡量	衡量	héng liáng	to weigh; to examine; to consider;  	[sound:cmn-衡量.mp3]
宏大	宏大	hóng dà	great; grand;  	[sound:cmn-宏大.mp3]
洪水	洪水	hóng shuǐ	deluge; flood;  	[sound:cmn-洪水.mp3]
忽略	忽略	hū lüè	to neglect; to overlook; to ignore;  	[sound:cmn-忽略.mp3]
壶	壺	hú	pot; classifier for bottled liquid;  	[sound:cmn-壶.mp3]
互动	互動	hù dòng	to interact; interactive;  	[sound:cmn-互动.mp3]
户外	戶外	hù wài	outdoor;  	[sound:cmn-户外.mp3]
护	護	hù	to protect;  	[sound:cmn-护.mp3]
花费	花費	huā fèi	expense; cost; to spend (time or money); expenditure;  	[sound:cmn-花费.mp3]
花瓶	花瓶	huā píng	flower vase; fig. just a pretty face; CL:對|对[dui4];  	[sound:cmn-花瓶.mp3]
花生	花生	huā shēng	peanut; groundnut; CL:粒[li4];  	[sound:cmn-花生.mp3]
化解	化解	huà jiě	to dissolve; to resolve (contradictions); to dispel (doubts); to iron out (difficulties); to defuse (conflicts); to neutralize (fears);  	[sound:cmn-化解.mp3]
幻想	幻想	huàn xiǎng	delusion; fantasy;  	[sound:cmn-幻想.mp3]
患者	患者	huàn zhě	patient; sufferer;  	[sound:cmn-患者.mp3]
皇帝	皇帝	huáng dì	emperor; CL:個|个[ge4];  	[sound:cmn-皇帝.mp3]
回应	迴應	huí yìng	to respond; response;  	[sound:cmn-回应.mp3]
毁	毀	huǐ, huǐ, huǐ	variant of 毀|毁[hui3]; to defame; to slander;  	[sound:cmn-毁.mp3]
会见	會見	huì jiàn	to meet with (sb who is paying a visit); CL:次[ci4];  	[sound:cmn-会见.mp3]
会长	會長	huì zhǎng	president of a club, committee etc;  	[sound:cmn-会长.mp3]
绘画	繪畫	huì huà	drawing; painting;  	[sound:cmn-绘画.mp3]
昏	昏	hūn, hūn	old variant of 昏[hun1];  	[sound:cmn-昏.mp3]
混	混	hún, hùn	confused; dirty; to mix; muddy; variant of 渾|浑[hun2];  to mix; to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless;  	[sound:cmn-混.mp3]
混合	混閤	hùn hé	to mix; to blend;  	[sound:cmn-混合.mp3]
混乱	混亂	hùn luàn	confusion; chaos; disorder;  	[sound:cmn-混乱.mp3]
活跃	活躍	huó yuè	active; lively; excited; to enliven; to brighten up;  	[sound:cmn-活跃.mp3]
火箭	火箭	huǒ jiàn	rocket; CL:枚[mei2];  	[sound:cmn-火箭.mp3]
机动车	機動車	jī dòng chē	motor vehicle;  	[sound:cmn-机动车.mp3]
机关	機關	jī guān	mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; strategum; scheme; intrigue; plot; trick; CL:個|个[ge4];  	[sound:cmn-机关.mp3]
机械	機械	jī xiè	machine; machinery; mechanical; (old) cunning; scheming;  	[sound:cmn-机械.mp3]
基督教	基督教	Jī dū jiào	Christianity; Christian;  	[sound:cmn-基督教.mp3]
激情	激情	jī qíng	passion; fervor; enthusiasm; strong emotion;  	[sound:cmn-激情.mp3]
吉利	吉利	Jí lì, jí lì	Geely, Chinese car make;  auspicious; lucky; propitious;  	[sound:cmn-吉利.mp3]
吉祥	吉祥	jí xiáng	lucky; auspicious; propitious;  	[sound:cmn-吉祥.mp3]
极端	極端	jí duān	extreme;  	[sound:cmn-极端.mp3]
急救	急救	jí jiù	first aid; emergency treatment;  	[sound:cmn-急救.mp3]
疾病	疾病	jí bìng	disease; sickness; ailment;  	[sound:cmn-疾病.mp3]
集	集	jí	to gather; to collect; collected works; classifier for sections of a TV series etc: episode;  	[sound:cmn-集.mp3]
给予	給予	jǐ yǔ	to accord; to give; to show (respect);  	[sound:cmn-给予.mp3]
加盟	加盟	jiā méng	to become a member of an alliance or union; to align; to join; participate;  	[sound:cmn-加盟.mp3]
家电	傢電	jiā diàn	household electric appliance; abbr. for 家用電器|家用电器;  	[sound:cmn-家电.mp3]
家园	傢園	jiā yuán	home; homeland;  	[sound:cmn-家园.mp3]
嘉宾	嘉賓	jiā bīn	esteemed guest; honored guest; guest (on a show);  	[sound:cmn-嘉宾.mp3]
假日	假日	jià rì	holiday; non-working day;  	[sound:cmn-假日.mp3]
尖	尖	jiān	point (of needle); sharp; shrewd; pointed;  	[sound:cmn-尖.mp3]
监测	監測	jiān cè	to monitor;  	[sound:cmn-监测.mp3]
监督	監督	jiān dū	to control; to supervise; to inspect;  	[sound:cmn-监督.mp3]
捡	撿	jiǎn	to pick up; to collect; to gather;  	[sound:cmn-捡.mp3]
简介	簡介	jiǎn jiè	summary; brief introduction;  	[sound:cmn-简介.mp3]
剑	劍	jiàn, jiàn	variant of 劍|剑[jian4];  	[sound:cmn-剑.mp3]
鉴定	鑒定	jiàn dìng	to appraise; to identify; to evaluate;  	[sound:cmn-鉴定.mp3]
箭	箭	jiàn	arrow; CL:支[zhi1];  	[sound:cmn-箭.mp3]
将军	將軍	Jiāng jūn, jiāng jūn	Chiangchun township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan;  general; high-ranking military officer; to check or checkmate; fig. to embarrass; to challenge; to put sb on the spot;  	[sound:cmn-将军.mp3]
讲课	講課	jiǎng kè	teach; lecture;  	[sound:cmn-讲课.mp3]
酱	醬	jiàng	thick paste of fermented soybean; marinated in soy paste; paste; jam;  	[sound:cmn-酱.mp3]
酱油	醬油	jiàng yoú	soy sauce;  	[sound:cmn-酱油.mp3]
骄傲	驕傲	jiāo ào	pride; arrogance; conceited; proud of sth;  	[sound:cmn-骄傲.mp3]
焦点	焦點	jiāo diǎn	focus; focal point;  	[sound:cmn-焦点.mp3]
脚印	腳印	jiǎo yìn	footprint;  	[sound:cmn-脚印.mp3]
觉	覺	jiào, jué	a nap; a sleep; CL:場|场[chang2];  to feel; to find that; thinking; awake; aware;  	[sound:cmn-觉.mp3]
教堂	教堂	jiào táng	church; chapel; CL:間|间[jian1];  	[sound:cmn-教堂.mp3]
教育部	教育部	Jiào yù bù	Ministry of Education;  	[sound:cmn-教育部.mp3]
接收	接收	jiē shoū	reception (of transmitted signal); to receive; to accept; to admit; to take over (e.g. a factory); to expropriate;  	[sound:cmn-接收.mp3]
揭	揭	jiē	to take the lid off; to expose; to unmask;  	[sound:cmn-揭.mp3]
街头	街頭	jiē toú	street;  	[sound:cmn-街头.mp3]
节	節	jiē, jié	see 節骨眼|节骨眼[jie1 gu5 yan3];  festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:個|个[ge4];  	[sound:cmn-节.mp3]
节假日	節假日	jié jià rì	public holiday;  	[sound:cmn-节假日.mp3]
节能	節能	jié néng	to save energy; energy-saving;  	[sound:cmn-节能.mp3]
节奏	節奏	jié zoù	rhythm; tempo; musical pulse; cadence; beat;  	[sound:cmn-节奏.mp3]
杰出	傑齣	jié chū	outstanding; distinguished; remarkable; prominent; illustrious;  	[sound:cmn-杰出.mp3]
截止	截止	jié zhǐ	to close; to stop; to put a stop to sth; cut-off point; stopping point; deadline;  	[sound:cmn-截止.mp3]
截至	截至	jié zhì	up to (a time); by (a time);  	[sound:cmn-截至.mp3]
解	解	Xiè, jiě, jiè, xiè	surname Xie;  to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection;  to transport under guard;  acrobatic display (esp. on horseback) (old); variant of 懈[xie4] and 邂[xie4] (old);  	[sound:cmn-解.mp3]
解说	解說	jiě shuō	to explain; to comment;  	[sound:cmn-解说.mp3]
界	界	jiè	boundary; scope; extent; circles; group; kingdom (taxonomy);  	[sound:cmn-界.mp3]
界	界	jiè	boundary; scope; extent; circles; group; kingdom (taxonomy);  	[sound:cmn-界.mp3]
借鉴	藉鑒	jiè jiàn	to use other people's experience; to borrow from a source; to use as reference;  	[sound:cmn-借鉴.mp3]
金额	金額	jīn é	sum of money; monetary value;  	[sound:cmn-金额.mp3]
金钱	金錢	jīn qián	money; currency;  	[sound:cmn-金钱.mp3]
金融	金融	jīn róng	banking; finance; financial;  	[sound:cmn-金融.mp3]
尽	盡	jǐn, jìn	to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to;  to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); all; entirely;  	[sound:cmn-尽.mp3]
进攻	進攻	jìn gōng	to attack; to assault; to go on the offensive; attack; assault; offense (sports);  	[sound:cmn-进攻.mp3]
近日	近日	jìn rì	in the past few days; recently; in the last few days;  	[sound:cmn-近日.mp3]
近视	近視	jìn shì	shortsighted; nearsighted; myopia;  	[sound:cmn-近视.mp3]
惊人	驚人	jīng rén	astonishing;  	[sound:cmn-惊人.mp3]
惊喜	驚喜	jīng xǐ	nice surprise; to be pleasantly surprised;  	[sound:cmn-惊喜.mp3]
精	精	jīng	essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic);  	[sound:cmn-精.mp3]
精美	精美	jīng měi	delicate; fine; refinement;  	[sound:cmn-精美.mp3]
精品	精品	jīng pǐn	quality goods; premium product; fine work (of art);  	[sound:cmn-精品.mp3]
井	井	Jǐng, jǐng	Jing, one of the 28 constellations of Chinese astronomy; surname Jing;  a well; CL:口[kou3]; neat; orderly;  	[sound:cmn-井.mp3]
景	景	Jǐng, jǐng	surname Jing;  bright; circumstance; scenery;  	[sound:cmn-景.mp3]
景点	景點	jǐng diǎn	scenic spot; place of interest (tourism);  	[sound:cmn-景点.mp3]
净	淨	jìng, jìng	clean; completely; only; net (income, exports etc); (Chinese opera) painted face male role;  	[sound:cmn-净.mp3]
纠纷	糾紛	jiū fēn	dispute;  	[sound:cmn-纠纷.mp3]
纠正	糾正	jiū zhèng	to correct; to make right;  	[sound:cmn-纠正.mp3]
酒水	酒水	jiǔ shuǐ	beverage; a drink;  	[sound:cmn-酒水.mp3]
救命	救命	jiù mìng	to save sb's life; (interj.) Help!; Save me!;  	[sound:cmn-救命.mp3]
救援	救援	jiù yuán	to save; to support; to help; to assist;  	[sound:cmn-救援.mp3]
救助	救助	jiù zhù	to help sb in trouble; aid; assistance;  	[sound:cmn-救助.mp3]
就是说	就是說	jiù shì shuō	in other words; that is;  	[sound:cmn-就是说.mp3]
就算	就算	jiù suàn	granted that; even if;  	[sound:cmn-就算.mp3]
局	局	jú, jú	office; situation; classifier for games: match, set, round etc;  	[sound:cmn-局.mp3]
剧	劇	jù	theatrical work (play, opera, TV series etc); dramatic (change, increase etc); acute; severe;  	[sound:cmn-剧.mp3]
据	據	jù, jū, jù, jù	according to; to act in accordance with; to depend on; to seize; to occupy;  see 拮据[jie2 ju1];  	[sound:cmn-据.mp3]
捐	捐	juān	to contribute; to donate; contribution; tax; to abandon;  	[sound:cmn-捐.mp3]
捐款	捐款	juān kuǎn	to donate money; to contribute funds; donation; contribution (of money);  	[sound:cmn-捐款.mp3]
捐赠	捐贈	juān zèng	to contribute (as a gift); to donate; benefaction;  	[sound:cmn-捐赠.mp3]
捐助	捐助	juān zhù	to donate; to offer (aid); contribution; donation;  	[sound:cmn-捐助.mp3]
决策	決策	jué cè	strategic decision; decision-making; policy decision; to determine policy;  	[sound:cmn-决策.mp3]
觉悟	覺悟	jué wù	to come to understand; to realize; consciousness; awareness; Buddhist enlightenment (Sanskrit: cittotpāda);  	[sound:cmn-觉悟.mp3]
绝	絕	jué, jué	variant of 絕|绝[jue2];  	[sound:cmn-绝.mp3]
绝大多数	絕大多數	jué dà duō shù	absolute majority; overwhelming majority;  	[sound:cmn-绝大多数.mp3]
军队	軍隊	jūn duì	army; troops; CL:支[zhi1],個|个[ge4];  	[sound:cmn-军队.mp3]
军舰	軍艦	jūn jiàn	warship; military naval vessel; CL:艘[sou1];  	[sound:cmn-军舰.mp3]
军事	軍事	jūn shì	military affairs; military matters; military;  	[sound:cmn-军事.mp3]
开创	開創	kāi chuàng	to initiate; to start; to found;  	[sound:cmn-开创.mp3]
开关	開關	kāi guān	power switch; to open a gate;  	[sound:cmn-开关.mp3]
开设	開設	kāi shè	to offer (goods or services); to open (for business etc);  	[sound:cmn-开设.mp3]
开通	開通	kāi tong	to open up (windows for air, ideas for discussion, transport routes etc); open-minded;  	[sound:cmn-开通.mp3]
开头	開頭	kāi toú	beginning; to start;  	[sound:cmn-开头.mp3]
开夜车	開夜車	kāi yè chē	to burn the midnight oil; to work late into the night;  	[sound:cmn-开夜车.mp3]
看	看	kān, kàn	to look after; to take care of; to watch; to guard;  to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger);  	[sound:cmn-看.mp3]
看管	看管	kān guǎn	to look after;  	[sound:cmn-看管.mp3]
看得见	看得見	kàn dé jiàn	can see; visible;  	[sound:cmn-看得见.mp3]
看得起	看得起	kàn de qǐ	to show respect for; to think highly of;  	[sound:cmn-看得起.mp3]
看好	看好	kàn hǎo	optimistic (about the outcome); bullish; to think highly of; to support;  	[sound:cmn-看好.mp3]
看作	看作	kàn zuò	to look upon as; to regard as;  	[sound:cmn-看作.mp3]
康复	康復	kāng fù	to recuperate; to recover (health); to convalesce;  	[sound:cmn-康复.mp3]
抗议	抗議	kàng yì	to protest; protest;  	[sound:cmn-抗议.mp3]
考场	考場	kǎo chǎng	exam room;  	[sound:cmn-考场.mp3]
考题	考題	kǎo tí	exam question;  	[sound:cmn-考题.mp3]
科研	科研	kē yán	(scientific) research;  	[sound:cmn-科研.mp3]
客车	客車	kè chē	coach; bus; passenger train;  	[sound:cmn-客车.mp3]
肯	肯	kěn, kěn	to agree; to consent; to be ready (to do sth); willing;  	[sound:cmn-肯.mp3]
空军	空軍	kōng jūn	air force;  	[sound:cmn-空军.mp3]
口试	口試	koǔ shì	oral examination; oral test;  	[sound:cmn-口试.mp3]
扣	扣	koù, koù	button;  	[sound:cmn-扣.mp3]
酷	酷	kù	ruthless; strong (e.g. of wine); (loanword) cool; hip;  	[sound:cmn-酷.mp3]
跨	跨	kuà	to step across; to stride over; to straddle; to span;  	[sound:cmn-跨.mp3]
快车	快車	kuài chē	express (train, bus etc);  	[sound:cmn-快车.mp3]
宽阔	寬闊	kuān kuò	expansive; wide; width; thickness;  	[sound:cmn-宽阔.mp3]
矿	礦	kuàng, kuàng	variant of 礦|矿[kuang4];  	[sound:cmn-矿.mp3]
阔	闊	kuò, kuò	rich; wide; broad;  	[sound:cmn-阔.mp3]
啦	啦	lā, la	(onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat;  sentence-final particle, contraction of 了啊, indicating exclamation; particle placed after each item in a list of examples;  	[sound:cmn-啦.mp3]
来往	來往	lái wǎng	to come and go; to have dealings with; to be in relation with;  	[sound:cmn-来往.mp3]
赖	賴	Lài, lài, lài	surname Lai;  variant of 賴|赖[lai4];  	[sound:cmn-赖.mp3]
栏目	欄目	lán mù	regular column or segment (in a publication or broadcast program); program (TV or radio);  	[sound:cmn-栏目.mp3]
蓝领	藍領	lán lǐng	blue collar; common laborer;  	[sound:cmn-蓝领.mp3]
蓝天	藍天	lán tiān	blue sky;  	[sound:cmn-蓝天.mp3]
懒	懶	lǎn, lǎn	lazy;  	[sound:cmn-懒.mp3]
牢	牢	láo	firm; sturdy; fold (for animals); sacrifice; prison;  	[sound:cmn-牢.mp3]
老乡	老鄉	lǎo xiāng	fellow townsman; fellow villager; sb from the same hometown;  	[sound:cmn-老乡.mp3]
冷气	冷氣	lěng qì	air conditioning (Tw);  	[sound:cmn-冷气.mp3]
冷水	冷水	lěng shuǐ	cold water; unboiled water; fig. not yet ready (of plans);  	[sound:cmn-冷水.mp3]
礼堂	禮堂	lǐ táng	assembly hall; auditorium; CL:座[zuo4],處|处[chu4];  	[sound:cmn-礼堂.mp3]
理	理	lǐ	texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up;  	[sound:cmn-理.mp3]
理财	理財	lǐ cái	financial management; finance;  	[sound:cmn-理财.mp3]
理智	理智	lǐ zhì	reason; intellect; rationality; rational;  	[sound:cmn-理智.mp3]
力	力	Lì, lì	surname Li;  power; force; strength; ability; strenuously;  	[sound:cmn-力.mp3]
利	利	Lì, lì	surname Li;  sharp; favorable; advantage; benefit; profit; interest; to do good to; to benefit;  	[sound:cmn-利.mp3]
联盟	聯盟	lián méng	alliance; union; coalition;  	[sound:cmn-联盟.mp3]
联赛	聯賽	lián sài	(sports) league; league tournament;  	[sound:cmn-联赛.mp3]
联手	聯手	lián shoǔ	lit. to join hands; to act together;  	[sound:cmn-联手.mp3]
凉鞋	涼鞋	liáng xié	sandal;  	[sound:cmn-凉鞋.mp3]
两侧	兩側	liǎng cè	two sides; both sides;  	[sound:cmn-两侧.mp3]
两手	兩手	liǎngshǒu	Two hands	[sound:cmn-两手.mp3]
聊	聊	liáo	to chat; to depend upon (literary); temporarily; just; slightly;  	[sound:cmn-聊.mp3]
聊天儿	聊天兒	liao2 tian1 r5	erhua variant of 聊天[liao2 tian1];  	[sound:cmn-聊天儿.mp3]
料	料	liào	material; stuff; grain; feed; to expect; to anticipate; to guess;  	[sound:cmn-料.mp3]
