不曾	不曾	bùcéng	hasn't yet, hasn't ever	[sound:cmn-不曾.mp3]
不得了	不得了	bù déliǎo	desperately serious, disastrous, extremely, exceedingly	[sound:cmn-不得了.mp3]
補貼	补贴	bǔtiē	to subsidize, subsidy, allowance, to supplement (one's salary etc), benefit	[sound:cmn-补贴.mp3]
不敢當	不敢当	bù gǎndāng	lit. I dare not (accept the honor), fig. I don't deserve your praise, you flatter me	[sound:cmn-不敢当.mp3]
不免	不免	bùmiǎn	unavoidably	[sound:cmn-不免.mp3]
不時	不时	bùshí	betweentimes, every so often, frequently, somewhile, at any time, every now and then, often	[sound:cmn-不时.mp3]
不能不	不能不	bùnéngbù	have to, cannot but	[sound:cmn-不能不.mp3]
不停	不停	bùtíng	non-stop	[sound:cmn-不停.mp3]
不許	不许	bùxǔ	can't	[sound:cmn-不许.mp3]
不良	不良	bùliáng	unhealthy, harmful, bad	[sound:cmn-不良.mp3]
部位	部位	bùwèi	segment, part, capsule, aspect, position, region, situs, place	[sound:cmn-部位.mp3]
不止	不止	bùzhǐ	incessantly, without end, more than, not limited to	[sound:cmn-不止.mp3]
猜測	猜测	cāicè	guess, surmise	[sound:cmn-猜测.mp3]
不足	不足	bùzú	not be enough, not be worth (doing sth.), cannot, should not	[sound:cmn-不足.mp3]
採購	采购	cǎigòu	choose and purchase	[sound:cmn-采购.mp3]
裁判	裁判	cáipàn	judge, referee, umpire	[sound:cmn-裁判.mp3]
猜	猜	cāi	guess, conjecture, speculation, suspect, put_on, speculate	[sound:cmn-猜.mp3]
餐館	餐馆	cānguǎn	chophouse, restaurant, porterhouse, osteria, cafe, caff	[sound:cmn-餐馆.mp3]
餐廳	餐厅	cāntīng	dining hall, restaurant, eating place, eating house, hall, dining_room, rathskeller, brasserie, dining room/hall, refectory, dining room, lunchroom, diner, inn	[sound:cmn-餐厅.mp3]
彩票	彩票	cǎipiào	lottery ticket	[sound:cmn-彩票.mp3]
草原	草原	cǎoyuán	veld, ley, steppe, plain, pastureland, pasture, grassland, lea, grass, campo, prairie, grazing land, grasslands	[sound:cmn-草原.mp3]
層次	层次	céngcì	administrative levels, rank order, arrangement, arrangement of ideas, stratification, levels, gradation, level, grade, hierarchy, coat, place	[sound:cmn-层次.mp3]
冊	册	cè	m.[general]	[sound:cmn-册.mp3]
餐飲	餐饮	cānyǐn	catering, foods, table	[sound:cmn-餐饮.mp3]
叉子	叉子	chāzi	fork, CL:把[ba3]	[sound:cmn-叉子.mp3]
差別	差别	chābié	disparity, contrast, difference, discrepancy, differentiation, distinction, differential	[sound:cmn-差别.mp3]
差距	差距	chājù	spatial difference	[sound:cmn-差距.mp3]
查詢	查询	cháxún	inquire into/about	[sound:cmn-查询.mp3]
插	插	chā	stuff, plug, get_in, insertion, insert, poke, thrust, tip, interposition, squeeze, stick, interpose, stick_in, stick in, shove	[sound:cmn-插.mp3]
叉	叉	chā	fork, pitchfork, prong, pick, cross, intersect, 'X', to cross, be stuck, to diverge, to open (as legs)	[sound:cmn-叉.mp3]
差點兒	差点儿	chàdiǎnr5	not quite, not good enough, almost, barely, a bit different, just about to, nearly starting, on the verge of, erhua variant of 差點|差点[cha4 dian3]	[sound:cmn-差点儿.mp3]
拆除	拆除	chāichú	demolish, remove	[sound:cmn-拆除.mp3]
拆	拆	chāi	section, disaffiliate, unseal, rip, dismantle, dismantlement, unweave, pull down, take apart, tear open	[sound:cmn-拆.mp3]
長度	长度	chángdù	long measure, extent, long_measure, measurement, length, yardage, longness, linear measure	[sound:cmn-长度.mp3]
長壽	长寿	chángshòu	Changshou suburban district of Chongqing municipality, formerly in Sichuan, longevity, ability to live long, long lived	[sound:cmn-长寿.mp3]
產業	产业	chǎnyè	estate, manufacture, industry, domain, manufacturing, property	[sound:cmn-产业.mp3]
腸	肠	cháng	intestines, old variant of 腸|肠[chang2]	[sound:cmn-肠.mp3]
嘗	尝	cháng	to taste, to try, to experience, already, ever, once, old variant of 嘗|尝[chang2]	[sound:cmn-尝.mp3]
嘗試	尝试	chángshì	attempt, try	[sound:cmn-尝试.mp3]
廠長	厂长	chǎngzhǎng	factory director	[sound:cmn-厂长.mp3]
場面	场面	chǎngmiàn	occasion, tableaux, locale, front, theatre, appearance, facade, theater, scene, spectacle, scope	[sound:cmn-场面.mp3]
超越	超越	chāoyuè	overpass, get_ahead, outdo, overshoot, outstrip, overstep, excel, outgo, outgrow, outmatch, overpeer, surpass, tower, exceed, overrun, outrun, transcend, cut_across, forerun, outclass, soar, transgress, antecede, beggar, break, outdistance, surmount	[sound:cmn-超越.mp3]
倡導	倡导	chàngdǎo	to advocate, to initiate, to propose, to be a proponent of (an idea or school of thought)	[sound:cmn-倡导.mp3]
