挨著	挨着	āizhe	near	[sound:cmn-挨着.mp3]
錄音機	录音机	lùyīnjī	(tape) recording machine, tape recorder, CL:臺|台[tai2]	[sound:cmn-录音机.mp3]
旅店	旅店	lǚdiàn	inn, small hotel	[sound:cmn-旅店.mp3]
馬車	马车	mǎchē	cart, chariot, carriage, buggy	[sound:cmn-马车.mp3]
路過	路过	lùguò	to pass by or through	[sound:cmn-路过.mp3]
埋	埋	mái	hide away, burial, bury, inter	[sound:cmn-埋.mp3]
綠化	绿化	lǜhuà	make (a place) green, afforest	[sound:cmn-绿化.mp3]
慢車	慢车	mànchē	local bus or train, slow train with many stops	[sound:cmn-慢车.mp3]
饅頭	馒头	mántou	steamed roll, steamed bun, steamed bread, CL:個|个[ge4]	[sound:cmn-馒头.mp3]
盲人	盲人	mángrén	blind person	[sound:cmn-盲人.mp3]
嘛	嘛	ma	particle: used to persuade someone to do something; used to emphasize the obvious	[sound:cmn-嘛.mp3]
梅花	梅花	méihuā	plum blossom, clubs (on playing cards), wintersweet	[sound:cmn-梅花.mp3]
美容	美容	měiróng	improve looks	[sound:cmn-美容.mp3]
猛	猛	měng	suddenly, abruptly	[sound:cmn-猛.mp3]
蒙	蒙	méng	to cover, ignorant, to suffer (misfortune), to receive (a favor), to cheat, (knocked) unconscious, dazed, stunned, surname Meng, Mongol ethnic group, abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2], Taiwan pr. [Meng2]	[sound:cmn-蒙.mp3]
免得	免得	miǎnde	conj.: so as not to, so as to avoid	[sound:cmn-免得.mp3]
棉	棉	mián	generic term for cotton or kapok, cotton, padded or quilted with cotton	[sound:cmn-棉.mp3]
面對面	面对面	miànduìmiàn	face to face	[sound:cmn-面对面.mp3]
面嚮	面向	miànxiàng	to face, to turn towards, to incline to, geared towards, catering for, -oriented, facial feature, appearance, aspect, facet	[sound:cmn-面向.mp3]
妙	妙	miào	wonderful, excellent, fine, ingenious, clever, subtle	[sound:cmn-妙.mp3]
滅	灭	miè	destruction, go out, put out, wipe out, extermination, put/go out, put, exterminate, turn off, destroy, extinguish	[sound:cmn-灭.mp3]
民歌	民歌	míngē	folk song, CL:支[zhi1],首[shou3]	[sound:cmn-民歌.mp3]
民工	民工	míngōng	migrant worker, temporary worker enlisted on a public project	[sound:cmn-民工.mp3]
民警	民警	mínjǐng	civil police, PRC police, abbr. for 人民警察	[sound:cmn-民警.mp3]
民主	民主	mínzhǔ	democracy, democratic rights	[sound:cmn-民主.mp3]
名勝	名胜	míngshèng	a place famous for its scenery or historical relics, scenic spot, CL:處|处[chu4]	[sound:cmn-名胜.mp3]
名額	名额	míngé	number of people allowed, quota of people	[sound:cmn-名额.mp3]
民意	民意	mínyì	public_opinion, popular will	[sound:cmn-民意.mp3]
名譽	名誉	míngyù	honour, laurel, celebrity, worship, character, odor, credit, repute, fame, name, rep, reputation, honorary, distinction, regard, honor	[sound:cmn-名誉.mp3]
名義	名义	míngyì	title, name	[sound:cmn-名义.mp3]
命	命	mìng	life, lot, fate, destiny	[sound:cmn-命.mp3]
明日	明日	míngrì	tomorrow	[sound:cmn-明日.mp3]
磨	磨	mó	grind, mill, turn round/about	[sound:cmn-磨.mp3]
沒收	没收	mòshōu	to confiscate, to seize	[sound:cmn-没收.mp3]
膜	膜	mó	membrane, film	[sound:cmn-膜.mp3]
墨水	墨水	mòshuǐ	ink, CL:瓶[ping2]	[sound:cmn-墨水.mp3]
母	母	mǔ	mother, elderly female relative, origin, source, (of animals) female	[sound:cmn-母.mp3]
母雞	母鸡	mǔjī	hen	[sound:cmn-母鸡.mp3]
母女	母女	mǔ-nǚ	mother-daughter	[sound:cmn-母女.mp3]
墓	墓	mù	grave, tomb, mausoleum	[sound:cmn-墓.mp3]
拿走	拿走	názǒu	to take away	[sound:cmn-拿走.mp3]
母子	母子	mǔzǐ	mother and child, parent and subsidiary (companies), principal and interest	[sound:cmn-母子.mp3]
奶粉	奶粉	nǎifěn	powdered milk	[sound:cmn-奶粉.mp3]
難忘	难忘	nánwàng	unforgettable, memorable	[sound:cmn-难忘.mp3]
奶牛	奶牛	nǎiniú	milk cow, dairy cow	[sound:cmn-奶牛.mp3]
內外	内外	nèiwài	inside and outside, domestic and foreign	[sound:cmn-内外.mp3]
內地	内地	nèidì	mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan), Japan (used in Taiwan during Japanese colonization), inland, interior, hinterland	[sound:cmn-内地.mp3]
內衣	内衣	nèiyī	undergarment, underwear, CL:件[jian4]	[sound:cmn-内衣.mp3]
能否	能否	néngfǒu	can or not	[sound:cmn-能否.mp3]
泥	泥	ní	mud, clay, paste, pulp, restrained	[sound:cmn-泥.mp3]
扭	扭	niǔ	to turn, to twist, to wring, to sprain, to swing one's hips	[sound:cmn-扭.mp3]
排行榜	排行榜	páihángbǎng	seniority among siblings	[sound:cmn-排行榜.mp3]
判	判	pàn	to judge, to sentence, to discriminate, to discern, obviously (different)	[sound:cmn-判.mp3]
派出	派出	pàichū	send, dispatch	[sound:cmn-派出.mp3]
盼望	盼望	pànwàng	hope/long for, look forward to	[sound:cmn-盼望.mp3]
泡	泡	pào	steep, soak, immerse	[sound:cmn-泡.mp3]
陪同	陪同	péitóng	accompany	[sound:cmn-陪同.mp3]
皮球	皮球	píqiú	ball (made of rubber, leather etc)	[sound:cmn-皮球.mp3]
配置	配置	pèizhì	dispose (troops/etc.), deploy	[sound:cmn-配置.mp3]
偏	偏	piān	stubbornly, on the contrary	[sound:cmn-偏.mp3]
貧困	贫困	pínkùn	impoverished, poverty	[sound:cmn-贫困.mp3]
聘請	聘请	pìnqǐng	engage, invite	[sound:cmn-聘请.mp3]
炮	炮	pào	to sauté, to fry, to dry by heating, to prepare herbal medicine by roasting or parching (in a pan), variant of 炮[pao4]	[sound:cmn-炮.mp3]
品牌	品牌	pǐnpái	brand, make, trademark	[sound:cmn-品牌.mp3]
平凡	平凡	píngfán	ordinary, common	[sound:cmn-平凡.mp3]
平衡	平衡	pínghéng	balance	[sound:cmn-平衡.mp3]
評	评	píng	to discuss, to comment, to criticize, to judge, to choose (by public appraisal)	[sound:cmn-评.mp3]
平臺	平台	píngtái	patio, terrace, hathpace, platform	[sound:cmn-平台.mp3]
屏幕	屏幕	píngmù	screen (TV, computer or movie)	[sound:cmn-屏幕.mp3]
評選	评选	píngxuǎn	to select on the basis of a vote or consensus	[sound:cmn-评选.mp3]
撲	扑	pū	pat, attack, throw oneself at, rush at, tap, beat, dab, bend over, pounce on, lie_down, throw oneself on, flap, flutter, fling self at	[sound:cmn-扑.mp3]
平方米	平方米	píngfāngmǐ	square meter	[sound:cmn-平方米.mp3]
鋪	铺	pù	pave, spread, overlay, extend, unfold, lay, surface, set in order, bespread	[sound:cmn-铺.mp3]
奇妙	奇妙	qímiào	wonderful, marvelous	[sound:cmn-奇妙.mp3]
坡	坡	pō	slope, CL:個|个[ge4], sloping, slanted	[sound:cmn-坡.mp3]
欺負	欺负	qīfu	browbeat, take advantage of, pick on	[sound:cmn-欺负.mp3]
企圖	企图	qǐtú	attempt, intend	[sound:cmn-企图.mp3]
氣氛	气氛	qìfēn	mood, air, look, feeling, aura, aurae, spirit, smell, genius loci, feel, flavor, atmosphere, tone, karma, ambiance, ambience	[sound:cmn-气氛.mp3]
恰當	恰当	qiàdàng	appropriate, proper, suitable, fitting	[sound:cmn-恰当.mp3]
恰好	恰好	qiàhǎo	as it turns out, by lucky coincidence, (of number, time, size etc) just right	[sound:cmn-恰好.mp3]
起訴	起诉	qǐsù	to sue, to bring a lawsuit against, to prosecute	[sound:cmn-起诉.mp3]
恰恰	恰恰	qiàqià	exactly, just, precisely	[sound:cmn-恰恰.mp3]
鉛筆	铅笔	qiānbǐ	(lead) pencil, CL:支[zhi1],枝[zhi1],桿|杆[gan3]	[sound:cmn-铅笔.mp3]
謙虛	谦虚	qiānxū	make modest remarks	[sound:cmn-谦虚.mp3]
牽	牵	qiān	lead along (by holding hand/halter/etc.), pull, involve, implicate	[sound:cmn-牵.mp3]
起點	起点	qǐdiǎn	starting point	[sound:cmn-起点.mp3]
前方	前方	qiánfāng	ahead, the front	[sound:cmn-前方.mp3]
強盜	强盗	qiángdào	hijacker, ravener, robber, rifler, freebooter, housebreaker, mugger, stickup, highwayman, brigand, ripoff, robbery, bandit, dacoit	[sound:cmn-强盗.mp3]
潛力	潜力	qiánlì	bottom, possibility, ability, potency, capability, capableness, potentiality, potential, potential(ity), latent capacity	[sound:cmn-潜力.mp3]
前來	前来	qiánlái	come	[sound:cmn-前来.mp3]
強勢	强势	qiángshì	powerful influence	[sound:cmn-强势.mp3]
強壯	强壮	qiángzhuàng	strong, sturdy, robust	[sound:cmn-强壮.mp3]
巧妙	巧妙	qiǎomiào	felicitous, skillful, ingenious, clever, shrewd	[sound:cmn-巧妙.mp3]
橋梁	桥梁	qiáoliáng	bridge, fig. connection between two areas	[sound:cmn-桥梁.mp3]
強化	强化	qiánghuà	strengthen, intensify, consolidate	[sound:cmn-强化.mp3]
切實	切实	qièshí	feasible, realistic, practical, earnestly, conscientiously	[sound:cmn-切实.mp3]
侵犯	侵犯	qīnfàn	violate, infringe on (sb.'s rights)	[sound:cmn-侵犯.mp3]
茄子	茄子	qiézi	eggplant (Solanum melongena L.), aubergine, brinjal, Guinea squash, phonetic 'cheese' (when being photographed), equivalent of 'say cheese'	[sound:cmn-茄子.mp3]
親屬	亲属	qīnshǔ	kin, kindred, relatives	[sound:cmn-亲属.mp3]
傾向	倾向	qīngxiàng	tendency, trend, inclination	[sound:cmn-倾向.mp3]
清	清	qīng	pure, clean, fresh, cool, lonely, poor	[sound:cmn-清.mp3]
清潔	清洁	qīngjié	clean, sanitary	[sound:cmn-清洁.mp3]
清潔工	清洁工	qīngjié gōng	cleaner, janitor, garbage collector	[sound:cmn-清洁工.mp3]
親眼	亲眼	qīnyǎn	with one's own eyes, personally	[sound:cmn-亲眼.mp3]
清明節	清明节	Qīngmíngjié	Qingming or Pure Brightness Festival or Tomb Sweeping Day, celebration for the dead (in early April)	[sound:cmn-清明节.mp3]
情緒	情绪	qíngxù	form, pulse, humor, depression, temper, feeling, spirits, monkey, emotion, sentiment, humour, soulfulness, mood, heartbeat, heartstrings, sulks, chord, vein, feelings, emotional state, spirit, frame_of_mind, sentiments, moodiness, emotions, steam, tune, soul	[sound:cmn-情绪.mp3]
球拍	球拍	qiúpāi	racket	[sound:cmn-球拍.mp3]
清洗	清洗	qīngxǐ	to wash, to clean, to purge	[sound:cmn-清洗.mp3]
球星	球星	qiúxīng	sports star (ball sport)	[sound:cmn-球星.mp3]
求職	求职	qiúzhí	seek for job	[sound:cmn-求职.mp3]
球員	球员	qiúyuán	ballplayer, player, ball team member	[sound:cmn-球员.mp3]
渠道	渠道	qúdào	irrigation ditch, (fig.) channel, means	[sound:cmn-渠道.mp3]
取款	取款	qǔ kuǎn	to withdraw money from a bank	[sound:cmn-取款.mp3]
去掉	去掉	qùdiào	to get rid of, to exclude, to eliminate, to remove, to delete, to strip out, to extract	[sound:cmn-去掉.mp3]
區分	区分	qūfēn	section, demarcate, compart, sectionalize, zone, screen, compartmentalize, individuate, differentiation, distinguish, mark off, secern, district, segment, separate, mark, sieve, differentiate, mark out, classify, divide, ramify, screen out, set apart, sort	[sound:cmn-区分.mp3]
取款機	取款机	qǔkuǎnjī	ATM	[sound:cmn-取款机.mp3]
權	权	quán	surname Quan, authority, power, right, (literary) to weigh, expedient, temporary	[sound:cmn-权.mp3]
全力	全力	quánlì	all one's strength, wholehearted dedication	[sound:cmn-全力.mp3]
權力	权力	quánlì	influence, rod, authoritativeness, clutches, whip_hand, dominance, say-so, reins, force, emirate, might, pretension, station, commission, grasp, leverage, danger, authority, place, power, arm, disposal, puissance	[sound:cmn-权力.mp3]
全新	全新	quánxīn	all new, completely new	[sound:cmn-全新.mp3]
券	券	quàn	bond (esp. document split in two, with each party holding one half), contract, deed (i.e. title deeds), ticket, voucher, certificate, variant of 券[quan4]	[sound:cmn-券.mp3]
缺陷	缺陷	quēxiàn	gap, deficiency, trouble, flaw, blemishment, blemish, shortage, limitation, incapacity, defect, shortcoming, deformity, defacement, drawback, disfigurement, disadvantage	[sound:cmn-缺陷.mp3]
讓座	让座	ràng zuò	to give up one's seat for sb	[sound:cmn-让座.mp3]
熱點	热点	rèdiǎn	hot spot, point of special interest	[sound:cmn-热点.mp3]
熱水	热水	rèshuǐ	hot water	[sound:cmn-热水.mp3]
熱水器	热水器	rèshuǐqì	water heater	[sound:cmn-热水器.mp3]
熱線	热线	rèxiàn	hotline (communications link)	[sound:cmn-热线.mp3]
人權	人权	rénquán	human rights	[sound:cmn-人权.mp3]
日夜	日夜	rìyè	day and night, around the clock	[sound:cmn-日夜.mp3]
卻是	却是	quèshì	nevertheless, actually, the fact is ...	[sound:cmn-却是.mp3]
認同	认同	rèntóng	identify, have meeting of the minds	[sound:cmn-认同.mp3]
融合	融合	rónghé	mix together, fuse, stick together	[sound:cmn-融合.mp3]
融入	融入	róngrù	melt, thaw, blend, merge	[sound:cmn-融入.mp3]
日語	日语	Rìyǔ	Japanese language	[sound:cmn-日语.mp3]
如	如	rú	according to, in accordance with, such as, as if, like, for example	[sound:cmn-如.mp3]
如一	如一	rúyī	As one	[sound:cmn-如一.mp3]
乳製品	乳制品	rǔzhìpǐn	dairy products	[sound:cmn-乳制品.mp3]
入	入	rù	agree with, set (of sun), set, take in, join, receive, be admitted into, become a member of, enter, descend, infiltrate, conform with, conform to, interlard	[sound:cmn-入.mp3]
入學	入学	rù xué	enter a school, enrol, college, enter school, enter, start school, matriculate, enter college	[sound:cmn-入学.mp3]
若	若	ruò	conj.: if, as if	[sound:cmn-若.mp3]
塞	塞	sāi	fill in, stuff in, stuff, fill, squeeze in, bung, spile, squeeze, line, stick, fill/stuff in	[sound:cmn-塞.mp3]
賽	赛	sài	to compete, competition, match, to surpass, better than, superior to, to excel	[sound:cmn-赛.mp3]
賽場	赛场	sàichǎng	racetrack, field (for athletics competition)	[sound:cmn-赛场.mp3]
三明治	三明治	sānmíngzhì	sandwich (loanword), CL:個|个[ge4]	[sound:cmn-三明治.mp3]
山峰	山峰	shānfēng	(mountain) peak	[sound:cmn-山峰.mp3]
山谷	山谷	shāngǔ	mountain valley	[sound:cmn-山谷.mp3]
喪失	丧失	sàngshī	cost, forfeiture, forfeit, give_away, lapse, loss, bereaved, lose, jump	[sound:cmn-丧失.mp3]
傷口	伤口	shāngkǒu	wound, cut	[sound:cmn-伤口.mp3]
傷亡	伤亡	shāngwáng	casualties, injuries and deaths	[sound:cmn-伤亡.mp3]
山坡	山坡	shānpō	hillside, mountain slope	[sound:cmn-山坡.mp3]
傷員	伤员	shāngyuán	wounded person	[sound:cmn-伤员.mp3]
商城	商城	shāngchéng	see 商城縣|商城县[Shang1 cheng2 xian4], shopping center, department store	[sound:cmn-商城.mp3]
上市	上市	shàng shì	go/appear on market	[sound:cmn-上市.mp3]
上當	上当	shàng dàng	be duped, be taken in, get_stuck, be fooled, be tricked	[sound:cmn-上当.mp3]
上演	上演	shàngyǎn	produce, bring on, put on stage, play, stage, mount, perform, bring out, performance	[sound:cmn-上演.mp3]
上帝	上帝	Shàngdì	Creator, god, Yahveh, Almighty, almighty, Godhead, Jehovah, Being, Supreme_Being, God Almighty, Maker, Allah, deity, omnipotent, king, abba, Omniscience, omniscient, God, creator, Providence, Omnipotence, Deus, providence, Divine, lording, Lord, lord, maker, Supreme Being, judge, Dominus, Heaven, All-father, Adonai, Father-God, divinity, Father	[sound:cmn-上帝.mp3]
上臺	上台	shàng tái	enter	[sound:cmn-上台.mp3]
勺	勺	sháo	spoon, ladle, CL:把[ba3], abbr. for 公勺[gong1 shao2], centiliter (unit of volume)	[sound:cmn-勺.mp3]
舌頭	舌头	shétou	lingua, clack, tongue, clapper, ability to talk, glossa, enemy soldier captured to extract inform, enemy soldier captured to extract information, an enemy soldier captured for the purpose of extra	[sound:cmn-舌头.mp3]
少兒	少儿	shàoér	child	[sound:cmn-少儿.mp3]
設計師	设计师	shèjìshī	architect, designer, stylist	[sound:cmn-设计师.mp3]
深化	深化	shēnhuà	to deepen, to intensify	[sound:cmn-深化.mp3]
涉及	涉及	shèjí	come to, pertain, involvement, implicate, entail, relate, cover, deal, concern, bear on, run_on, involve, touch on, refer, touch upon, deal with, touch, come_to, relate to	[sound:cmn-涉及.mp3]
深深	深深	shēnshēn	deep, profound	[sound:cmn-深深.mp3]
審查	审查	shěnchá	examine, investigate	[sound:cmn-审查.mp3]
升級	升级	shēng jí	upgrade, go up (in grade/etc.), escalate	[sound:cmn-升级.mp3]
升學	升学	shēng xué	enter higher school	[sound:cmn-升学.mp3]
生活費	生活费	shēnghuófèi	cost of living, living expenses, alimony	[sound:cmn-生活费.mp3]
省錢	省钱	shěngqián	to save money	[sound:cmn-省钱.mp3]
升值	升值	shēngzhí	revalue, appreciate	[sound:cmn-升值.mp3]
聖誕節	圣诞节	Shèngdàn Jié	Christmas time, Christmas season, Christmas	[sound:cmn-圣诞节.mp3]
師父	师父	shīfu	guru, address for nun/etc., teacher, tutor, address for monk, professional, master, nun, a polite form of address to a monk or nun, address for monk/nun/etc., etc.	[sound:cmn-师父.mp3]
盛行	盛行	shèngxíng	be current, be in vogue	[sound:cmn-盛行.mp3]
時節	时节	shíjié	season, time	[sound:cmn-时节.mp3]
師生	师生	shī-shēng	teacher and student	[sound:cmn-师生.mp3]
時時	时时	shíshí	always, constantly, often	[sound:cmn-时时.mp3]
時期	时期	shíqī	epoch, season, date, period_of_time, phase, day, occasion, estate, period, length, period (of time), phase angle, stage, conjuncture, chapter, times, era, leg, guardianship	[sound:cmn-时期.mp3]
時裝	时装	shízhuāng	fashion, fashionable clothes	[sound:cmn-时装.mp3]
時而	时而	shíér	occasionally, from time to time	[sound:cmn-时而.mp3]
識	识	shí	know, recognize	[sound:cmn-识.mp3]
實踐	实践	shíjiàn	practice	[sound:cmn-实践.mp3]
食慾	食欲	shíyù	appetite	[sound:cmn-食欲.mp3]
市民	市民	shìmín	citizen, burgess, citizenry, metropolitan, townsman, townsfolk, town, towner, civic, residents of a city, townee, burgher, townspeople	[sound:cmn-市民.mp3]
試點	试点	shìdiǎn	test point, to carry out trial, pilot scheme	[sound:cmn-试点.mp3]
適當	适当	shìdàng	beseem, proper, suitable, suit	[sound:cmn-适当.mp3]
事後	事后	shìhòu	after the event, in hindsight, in retrospect	[sound:cmn-事后.mp3]
收藏	收藏	shōucáng	collect, store up	[sound:cmn-收藏.mp3]
識字	识字	shí zì	to learn to read	[sound:cmn-识字.mp3]
收養	收养	shōuyǎng	to take in and care for (an elderly person, a dog etc), to adopt (a child), adoption	[sound:cmn-收养.mp3]
手續費	手续费	shǒuxùfèi	service charge, processing fee, commission	[sound:cmn-手续费.mp3]
收取	收取	shōuqǔ	collect, gather	[sound:cmn-收取.mp3]
首	首	shǒu	m.[general]	[sound:cmn-首.mp3]
首腦	首脑	shǒunǎo	head (of state), summit (meeting), leader	[sound:cmn-首脑.mp3]
首席	首席	shǒuxí	chief (representative, correspondent etc)	[sound:cmn-首席.mp3]
首次	首次	shǒucì	first, first time, for the first time	[sound:cmn-首次.mp3]
書房	书房	shūfáng	study (room), studio, CL:間|间[jian1]	[sound:cmn-书房.mp3]
首相	首相	shǒuxiàng	prime minister (of Japan or UK etc)	[sound:cmn-首相.mp3]
薯片	薯片	shǔpiàn	fried potato chips	[sound:cmn-薯片.mp3]
雙打	双打	shuāngdǎ	foursome, doubles	[sound:cmn-双打.mp3]
爽	爽	shuǎng	comfortable	[sound:cmn-爽.mp3]
水泥	水泥	shuǐní	cement	[sound:cmn-水泥.mp3]
稅	税	shuì	droit, tax, geld, due, scot, exaction, capital levy, gabelle, duty, taxation, revenue enhancement	[sound:cmn-税.mp3]
順	顺	shùn	to obey, to follow, to arrange, to make reasonable, along, favorable	[sound:cmn-顺.mp3]
薯條	薯条	shǔtiáo	french fries, french fried potatoes, chips	[sound:cmn-薯条.mp3]
說明書	说明书	shuōmíngshū	(technical) manual, (book of) directions, synopsis (of play/etc.)	[sound:cmn-说明书.mp3]
司長	司长	sīzhǎng	bureau chief	[sound:cmn-司长.mp3]
說實話	说实话	shuō shíhuà	to speak the truth, truth to tell, frankly	[sound:cmn-说实话.mp3]
死亡	死亡	sǐwáng	be dead/doomed	[sound:cmn-死亡.mp3]
四處	四处	sìchù	about, all around, everywhere, everyplace, all over, throughout, around	[sound:cmn-四处.mp3]
寺	寺	sì	Buddhist temple, mosque, government office (old)	[sound:cmn-寺.mp3]
送禮	送礼	sòng lǐ	to give a present	[sound:cmn-送礼.mp3]
送行	送行	sòng xíng	to see someone off, to throw someone a send-off party	[sound:cmn-送行.mp3]
素質	素质	sùzhì	calibre, fibre, stuff, vocation, diathesis, caliber, character, strain, predisposition, quality, timber	[sound:cmn-素质.mp3]
算是	算是	suànshì	regard_as, considered to be	[sound:cmn-算是.mp3]
雖	虽	suī	conj.: though, although, even if	[sound:cmn-虽.mp3]
算了	算了	suànle	Forget about it., That's enough!	[sound:cmn-算了.mp3]
踏實	踏实	tāshi	dependable, at ease, solid	[sound:cmn-踏实.mp3]
歲數	岁数	suìshu	age (number of years old)	[sound:cmn-岁数.mp3]
塔	塔	tǎ	pagoda, stupa, tower	[sound:cmn-塔.mp3]
踏	踏	tà	tread, trample, stamp, step, step on	[sound:cmn-踏.mp3]
所	所	suǒ	that which	[sound:cmn-所.mp3]
檯燈	台灯	táidēng	desk lamp, table lamp	[sound:cmn-台灯.mp3]
嘆氣	叹气	tàn qì	to sigh, to heave a sigh	[sound:cmn-叹气.mp3]
探索	探索	tànsuǒ	explore, probe	[sound:cmn-探索.mp3]
太陽能	太阳能	tàiyángnéng	solar energy	[sound:cmn-太阳能.mp3]
探討	探讨	tàntǎo	inquire into, explore	[sound:cmn-探讨.mp3]
趟	趟	tàng	m.[activity]	[sound:cmn-趟.mp3]
掏	掏	tāo	to fish out (from pocket), to scoop, variant of 掏[tao1]	[sound:cmn-掏.mp3]
特大	特大	tèdà	Extraordinary	[sound:cmn-特大.mp3]
特地	特地	tèdì	purposely, specially, on purpose	[sound:cmn-特地.mp3]
特	特	tè	unusual, special, extraordinarily	[sound:cmn-特.mp3]
特快	特快	tèkuài	express (train, delivery etc)	[sound:cmn-特快.mp3]
疼痛	疼痛	téngtòng	pain, soreness, fester, suffer, hurt, ache, sore	[sound:cmn-疼痛.mp3]
特意	特意	tèyì	specially, intentionally	[sound:cmn-特意.mp3]
踢	踢	tī	shin, spurn, drop-kick, prick, boot, kick, toe, dropkick, play, lunge, punt	[sound:cmn-踢.mp3]
提交	提交	tíjiāo	to submit (a report etc), to refer (a problem) to sb	[sound:cmn-提交.mp3]
提升	提升	tíshēng	promote, hoist, elevate	[sound:cmn-提升.mp3]
天然	天然	tiānrán	natural	[sound:cmn-天然.mp3]
天堂	天堂	tiāntáng	paradise, heaven	[sound:cmn-天堂.mp3]
田	田	tián	farmland, glebe, cropland, Surname, field, plow, Tian	[sound:cmn-田.mp3]
天下	天下	tiānxià	rule, world, China, domination, everywhere under heaven	[sound:cmn-天下.mp3]
添	添	tiān	add, fuel, appose, addition, increase, have a baby	[sound:cmn-添.mp3]
田徑	田径	tiánjìng	track and field, track-and-field, athlete, athletics, sport	[sound:cmn-田径.mp3]
跳水	跳水	tiàoshuǐ	dive	[sound:cmn-跳水.mp3]
通報	通报	tōngbào	to inform, to notify, to announce, circular, bulletin, (scientific) journal	[sound:cmn-通报.mp3]
聽取	听取	tīngqǔ	to hear (news), to listen to	[sound:cmn-听取.mp3]
通道	通道	tōngdào	path, scuttle, headway, corridor, passageway, gateway, gallery, close, walkway, areaway, hatchway, thoroughfare, lobby, winze, passage, aisle, opening, gangway, gap, passage(way), clearance, passing, headroom, enterclose, inlet, jackladder, access, byway	[sound:cmn-通道.mp3]
通紅	通红	tōnghóng	very red, red through and through, to blush (deep red)	[sound:cmn-通红.mp3]
通行	通行	tōngxíng	pass/go through, be current or of general use	[sound:cmn-通行.mp3]
通話	通话	tōnghuà	converse, communicate by telephone	[sound:cmn-通话.mp3]
同	同	tóng	det.: simialr, same	[sound:cmn-同.mp3]
同胞	同胞	tóngbāo	offspring of same parents, paisano, neighbour, countrymen, countryfolk, fellow countryman, neighbor, compatriot, countryman, cousin	[sound:cmn-同胞.mp3]
同期	同期	tóngqī	the corresponding time period (in a different year etc), concurrent, synchronous	[sound:cmn-同期.mp3]
通訊	通讯	tōngxùn	communication, news report, newsletter	[sound:cmn-通讯.mp3]
同行	同行	tóngháng	person of the same profession, of the same trade, occupation or industry, to journey together	[sound:cmn-同行.mp3]
銅牌	铜牌	tóngpái	bronze medal, bronze plaque bearing a business name or logo etc, CL:枚[mei2]	[sound:cmn-铜牌.mp3]
同一	同一	tóngyī	identical, the same	[sound:cmn-同一.mp3]
頭疼	头疼	tóuténg	headache	[sound:cmn-头疼.mp3]
投票	投票	tóu piào	ballot, tender, bid, poll, cast, cast a vote, vote	[sound:cmn-投票.mp3]
圖書	图书	túshu	picture_book, books	[sound:cmn-图书.mp3]
透露	透露	tòulù	expose, disclose, divulge, develop, impart, unrip, confide, sound, fall, disembosom, get around, reveal, let_on, disclosure, let on, leakage, divulgence, get out, discover, let out, leak, declare, break, give away, bring out	[sound:cmn-透露.mp3]
途徑	途径	tújìng	track, path, pathway, footpath, avenue, gateway, channel, road, way, pipeline, curriculum	[sound:cmn-途径.mp3]
徒弟	徒弟	túdi	apprentice, disciple	[sound:cmn-徒弟.mp3]
土	土	tǔ	soil, earth, clay, land	[sound:cmn-土.mp3]
團隊	团队	tuánduì	team	[sound:cmn-团队.mp3]
退票	退票	tuìpiào	to bounce (a check), to return a ticket, ticket refund	[sound:cmn-退票.mp3]
吞	吞	tūn	to swallow, to take	[sound:cmn-吞.mp3]
推出	推出	tuīchū	present to public	[sound:cmn-推出.mp3]
托	托	tuō	hold in palm, support from under, serve as foil, set off, plead, give as a pretext, rely on, entrust, put lining in	[sound:cmn-托.mp3]
拖	拖	tuō	pull, drag, haul	[sound:cmn-拖.mp3]
拖鞋	拖鞋	tuōxié	slippers, sandals, flip-flops, CL:雙|双[shuang1],隻|只[zhi1]	[sound:cmn-拖鞋.mp3]
挖	挖	wā	scrape, scoop up, scoop, pick, excavate, excavation, grub, lift out, take up, scoop out, dig, grave	[sound:cmn-挖.mp3]
娃娃	娃娃	wáwa	mammet, baby, doll, child	[sound:cmn-娃娃.mp3]
外幣	外币	wàibì	foreign currency	[sound:cmn-外币.mp3]
外部	外部	wàibù	outer, surface, external, outwall, outside, exterior	[sound:cmn-外部.mp3]
外出	外出	wàichū	go out	[sound:cmn-外出.mp3]
哇	哇	wa	Wah!	[sound:cmn-哇.mp3]
外科	外科	wàikē	surgery, chirurgery, surgical, surgical department	[sound:cmn-外科.mp3]
外觀	外观	wàiguān	shell, outward appearance, show, externality, visual aspect, exterior, effect, superficies, look, likeness, appearance, facade, surface, presentment, apparel, impression, facies, aspect, complexion, resemblance, semblance, guise, frontage, outwardness, rind, garb, showing, face, veneer, outside, garment, getup	[sound:cmn-外观.mp3]
外衣	外衣	wàiyī	outer clothing, semblance, appearance	[sound:cmn-外衣.mp3]
外來	外来	wàilái	foreign, adventive, externally, incoming, external, outside, exotic	[sound:cmn-外来.mp3]
外資	外资	wàizī	foreign capital	[sound:cmn-外资.mp3]
外頭	外头	wàitou	outside, out	[sound:cmn-外头.mp3]
彎曲	弯曲	wānqū	distort	[sound:cmn-弯曲.mp3]
頑皮	顽皮	wánpí	naughty	[sound:cmn-顽皮.mp3]
頑強	顽强	wánqiáng	tenacious, hard to defeat	[sound:cmn-顽强.mp3]
