挨著	挨着	āizhe	near	[sound:cmn-挨着.mp3]
不成	不成	bùchéng	won't do, unable to, (at the end of a rhetorical question) can that be?	[sound:cmn-不成.mp3]
捕	捕	bǔ	prawn, seizure, seize, arrest, catch	[sound:cmn-捕.mp3]
不禁	不禁	bùjīn	can't help (doing sth.)	[sound:cmn-不禁.mp3]
不僅僅	不仅仅	bùjǐnjǐn	not only	[sound:cmn-不仅仅.mp3]
不通	不通	bùtōng	to be obstructed, to be blocked up, to be impassable, to make no sense, to be illogical	[sound:cmn-不通.mp3]
不怎麼樣	不怎么样	bù zěnmeyàng	not up to much, very indifferent, nothing great about it, nothing good to be said about it	[sound:cmn-不怎么样.mp3]
不值	不值	bùzhí	not worth	[sound:cmn-不值.mp3]
不怎麼	不怎么	bùzěnme	not very, not particularly	[sound:cmn-不怎么.mp3]
布滿	布满	bùmǎn	to be covered with, to be filled with	[sound:cmn-布满.mp3]
部隊	部队	bùduì	military personnel, troops, troop, regular army, soldiery, army, party, company	[sound:cmn-部队.mp3]
採納	采纳	cǎinà	to accept, to adopt	[sound:cmn-采纳.mp3]
參賽	参赛	cān sài	take part in match, enter competition	[sound:cmn-参赛.mp3]
踩	踩	cǎi	tread, tramp, tromp, scrunch, trample, walk, step, step on	[sound:cmn-踩.mp3]
參展	参展	cān zhǎn	participate in exhibition	[sound:cmn-参展.mp3]
餐	餐	cān	m.[event]	[sound:cmn-餐.mp3]
殘疾	残疾	cánji	disabled, handicapped, deformity on a person or animal	[sound:cmn-残疾.mp3]
殘疾人	残疾人	cánjírén	disabled person	[sound:cmn-残疾人.mp3]
殘酷	残酷	cánkù	brutal, ruthless	[sound:cmn-残酷.mp3]
倉庫	仓库	cāngkù	depot, storehouse, warehouse	[sound:cmn-仓库.mp3]
慘	惨	cǎn	tragic, gloomy, savage, sorrowful, cruel, pitiful, miserable, dark	[sound:cmn-惨.mp3]
藏	藏	cáng	lay by, concealment, conceal, hide, store	[sound:cmn-藏.mp3]
操縱	操纵	cāozòng	operate, control, rig, manipulate	[sound:cmn-操纵.mp3]
側	侧	cè	the side, to incline towards, to lean, inclined, lateral, side, lean on one side	[sound:cmn-侧.mp3]
廁所	厕所	cèsuǒ	john, W.C., can, jakes, lavatory, lav, cloaca, crapper, privy, water closet, bathroom, bog, washroom, closet, convenience, stool, rear, latrine, loo, facility, toilet, John, cloakroom	[sound:cmn-厕所.mp3]
測定	测定	cèdìng	to survey and evaluate	[sound:cmn-测定.mp3]
策劃	策划	cèhuà	to plot, to scheme, to bring about, to engineer, planning, producer, planner	[sound:cmn-策划.mp3]
策略	策略	cèlüè	coup, resource, enginery, wile, stratagem, gambit, practice, plant, diplomacy, artifice, trap, twist, tactical manoeuver, policy, game, mechanism, game plan, ambush, chicanery, finesse, lying in wait, maneuvering, joker, tactics, gimmick, manoeuvering, plan, device, art, tactical maneuver, maneuver, measure, play, tactic, manoeuvre, mechanics, tack, ambuscade, trickery, strategy, setup, r	[sound:cmn-策略.mp3]
層面	层面	céngmiàn	storey, level, side, story, range, floor, coverage	[sound:cmn-层面.mp3]
差異	差异	chāyì	gap, departure, spread, variance, divergence, difference, diversity, discrepancy, imparity, disparity, contrast, interval, differentia, distinction	[sound:cmn-差异.mp3]
查出	查出	cháchū	find, look_up, smell, investigate, find_out, find out, smoke_out, detect, track_down, smoke out, examine	[sound:cmn-查出.mp3]
查看	查看	chákàn	to look over, to examine, to check up, to ferret out	[sound:cmn-查看.mp3]
拆遷	拆迁	chāiqiān	to demolish a building and relocate the inhabitants	[sound:cmn-拆迁.mp3]
產量	产量	chǎnliàng	turnout, turnoff, outturn, capacity, output, produce, product, fruitage, throughput, fruit, production, yield, crop	[sound:cmn-产量.mp3]
昌盛	昌盛	chāngshèng	prosperous	[sound:cmn-昌盛.mp3]
長假	长假	chángjià	long vacation, refers to one week national holiday in PRC starting 1st May and 1st Oct	[sound:cmn-长假.mp3]
長短	长短	chángduǎn	length, duration, accident, right and wrong, good and bad, long and short	[sound:cmn-长短.mp3]
長跑	长跑	chángpǎo	long-distance running	[sound:cmn-长跑.mp3]
長遠	长远	chángyuǎn	long-range, long, long-term, far-reaching	[sound:cmn-长远.mp3]
常規	常规	chángguī	code of conduct, conventions, common practice, routine (medical procedure etc)	[sound:cmn-常规.mp3]
長久	长久	chángjiǔ	permanently, long, for a long time	[sound:cmn-长久.mp3]
常年	常年	chángnián	all year round, for years on end, average year	[sound:cmn-常年.mp3]
場地	场地	chǎngdì	grounds, site, ground, yard, precinct, space, course, place, park, property	[sound:cmn-场地.mp3]
廠商	厂商	chǎngshāng	factory owner, factories and stores, firm, maker, business organization, business concern, manufacturing business, concern, manufacturer, business	[sound:cmn-厂商.mp3]
場館	场馆	chǎngguǎn	sporting venue, arena	[sound:cmn-场馆.mp3]
場景	场景	chǎngjǐng	stage set, set, scenery, spectacle, scene, setting, set decoration	[sound:cmn-场景.mp3]
暢通	畅通	chàngtōng	unimpeded, free-flowing, straight path, unclogged, move without obstruction	[sound:cmn-畅通.mp3]
超出	超出	chāo chū	to exceed, to overstep, to go too far, to encroach	[sound:cmn-超出.mp3]
炒	炒	chǎo	saute, stir-fry, roast, speculate, parch, fry, saut#2e, fire, saut#2 e, sack, scramble	[sound:cmn-炒.mp3]
超	超	chāo	to exceed, to overtake, to surpass, to transcend, to pass, to cross, ultra-, super-	[sound:cmn-超.mp3]
炒股	炒股	chǎo gǔ	(coll.) to speculate in stocks	[sound:cmn-炒股.mp3]
車號	车号	chēhào	Car number	[sound:cmn-车号.mp3]
炒作	炒作	chǎozuò	stir	[sound:cmn-炒作.mp3]
車展	车展	chēzhǎn	motor show	[sound:cmn-车展.mp3]
車牌	车牌	chēpái	license plate	[sound:cmn-车牌.mp3]
