摆设	擺設	bǎi shè	to arrange; to set out; to decorate; to display; decorative items;  	[sound:cmn-摆设.mp3]
拜会	拜會	bài huì	pay an official call; call on; visit in an official capacity;  	[sound:cmn-拜会.mp3]
拜见	拜見	bài jiàn	to pay a formal visit; to call to pay respects; to meet one's senior or superior;  	[sound:cmn-拜见.mp3]
拜年	拜年	bài nián	to pay a New Year call; to wish sb a Happy New Year;  	[sound:cmn-拜年.mp3]
拜托	拜托	bài tuō	to request sb to do sth; please!;  	[sound:cmn-拜托.mp3]
扳	扳	bān, pān	to pull; to turn (sth) around; to turn around (a situation); to recoup;  variant of 攀[pan1];  	[sound:cmn-扳.mp3]
颁布	頒布	bān bù	to issue; to proclaim; to enact (laws, decrees etc);  	[sound:cmn-颁布.mp3]
颁发	頒發	bān fā	to issue; to promulgate; to award;  	[sound:cmn-颁发.mp3]
颁奖	頒奬	bān jiǎng	to confer an award;  	[sound:cmn-颁奖.mp3]
斑点	斑點	bān diǎn	spot; stain; speckle;  	[sound:cmn-斑点.mp3]
搬迁	搬遷	bān qiān	to move; to relocate; removal;  	[sound:cmn-搬迁.mp3]
板块	闆塊	bǎn kuài	block; slab; tectonic plate; continental plate;  	[sound:cmn-板块.mp3]
办不到	辦不到	bàn bu dào	impossible; can't be done; no can do; unable to accomplish;  	[sound:cmn-办不到.mp3]
半边天	半邊天	bàn biān tiān	half the sky; women of the new society; womenfolk;  	[sound:cmn-半边天.mp3]
半场	半場	bàn chǎng	half of a game or contest; half-court;  	[sound:cmn-半场.mp3]
半岛	半島	bàn dǎo	peninsula;  	[sound:cmn-半岛.mp3]
半路	半路	bàn lù	halfway; midway; on the way;  	[sound:cmn-半路.mp3]
半数	半數	bàn shù	half the number; half;  	[sound:cmn-半数.mp3]
半途而废	半途而廢	bàn tú ér fèi	to give up halfway (idiom); leave sth unfinished;  	[sound:cmn-半途而废.mp3]
半信半疑	半信半疑	bàn xìn bàn yí	half doubting; dubious; skeptical;  	[sound:cmn-半信半疑.mp3]
半真半假	半真半假	bàn zhēn bàn jiǎ	(idiom) half true and half false;  	[sound:cmn-半真半假.mp3]
扮	扮	bàn	to disguise oneself as; to dress up; to play (a role); to put on (an expression);  	[sound:cmn-扮.mp3]
伴	伴	bàn	partner; companion; comrade; associate; to accompany;  	[sound:cmn-伴.mp3]
伴侣	伴侶	bàn lǚ	companion; mate; partner;  	[sound:cmn-伴侣.mp3]
伴随	伴隨	bàn suí	to accompany; to follow; to occur together with; concomitant;  	[sound:cmn-伴随.mp3]
伴奏	伴奏	bàn zoù	to accompany (musically);  	[sound:cmn-伴奏.mp3]
拌	拌	bàn	to mix; to mix in; to toss (a salad);  	[sound:cmn-拌.mp3]
帮手	幫手	bāng shoǔ	helper; assistant;  	[sound:cmn-帮手.mp3]
绑	綁	bǎng	to tie; bind or fasten together; to kidnap;  	[sound:cmn-绑.mp3]
绑架	綁架	bǎng jià	to kidnap; to abduct; to hijack; a kidnapping; abduction; staking;  	[sound:cmn-绑架.mp3]
榜样	榜樣	bǎng yàng	example; model; CL:個|个[ge4];  	[sound:cmn-榜样.mp3]
棒球	棒球	bàng qiú	baseball; CL:個|个[ge4],隻|只[zhi1];  	[sound:cmn-棒球.mp3]
磅	磅	bàng	see 磅秤 scale; platform balance; (loanword) pound (unit of weight, about 454 grams);  	[sound:cmn-磅.mp3]
包袱	包袱	bāo fu	wrapping cloth; a bundle wrapped in cloth; load; weight; burden; funny part; punchline;  	[sound:cmn-包袱.mp3]
包容	包容	bāo róng	to pardon; to forgive; to show tolerance; to contain; to hold; inclusive;  	[sound:cmn-包容.mp3]
包扎	包紮	bāo zā, bāo zā	to wrap up; to pack; to bind up (a wound);  	[sound:cmn-包扎.mp3]
剥	剝	bāo, bō	to peel; to skin; to shell; to shuck;  to peel; to skin; to flay; to shuck;  	[sound:cmn-剥.mp3]
煲	煲	bāo	to cook slowly over a low flame; pot; saucepan;  	[sound:cmn-煲.mp3]
饱和	飽和	bǎo hé	saturation;  	[sound:cmn-饱和.mp3]
饱满	飽滿	bǎo mǎn	full; plump;  	[sound:cmn-饱满.mp3]
宝库	寶庫	bǎo kù	treasure-house; treasury; treasure-trove (often fig., book of treasured wisdom);  	[sound:cmn-宝库.mp3]
宝藏	寶藏	bǎo zàng	precious (mineral) deposits; (budd.) the treasure of Buddha's law;  	[sound:cmn-宝藏.mp3]
保管	保管	bǎo guǎn	to hold in safekeeping; to have in one's care; to guarantee; certainly; surely; custodian; curator;  	[sound:cmn-保管.mp3]
保姆	保姆	bǎo mǔ	nanny; housekeeper;  	[sound:cmn-保姆.mp3]
保暖	保暖	bǎo nuǎn	to stay warm; to protect against the cold;  	[sound:cmn-保暖.mp3]
保鲜	保鮮	bǎoxiān	Preservation	[sound:cmn-保鲜.mp3]
保修	保修	bǎo xiū	to promise to keep sth in good repair; guarantee; warranty;  	[sound:cmn-保修.mp3]
保佑	保佑	bǎo yoù	to bless and protect; blessing;  	[sound:cmn-保佑.mp3]
保障	保障	bǎo zhàng	to ensure; to guarantee; to safeguard;  	[sound:cmn-保障.mp3]
保质期	保質期	bǎo zhì qī	date of use (on foodstuffs); best before date;  	[sound:cmn-保质期.mp3]
保重	保重	bǎo zhòng	to take care of oneself;  	[sound:cmn-保重.mp3]
堡垒	堡壘	bǎo lěi	fort;  	[sound:cmn-堡垒.mp3]
报	報	bào	to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1];  	[sound:cmn-报.mp3]
报仇	報仇	bào choú	to take revenge; to avenge;  	[sound:cmn-报仇.mp3]
报酬	報酬	bào chou	reward; remuneration;  	[sound:cmn-报酬.mp3]
报废	報廢	bào fèi	to scrap; to be written off;  	[sound:cmn-报废.mp3]
报复	報復	bào fù	to make reprisals; to retaliate; revenge; retaliation;  	[sound:cmn-报复.mp3]
报社	報社	bào shè	newspaper (i.e. a company); CL:家[jia1];  	[sound:cmn-报社.mp3]
报亭	報亭	bào tíng	kiosk; newsstand;  	[sound:cmn-报亭.mp3]
报销	報銷	bào xiāo	to submit an expense account; to apply for reimbursement; to write off; to wipe out;  	[sound:cmn-报销.mp3]
抱负	抱負	bào fù	aspiration; ambition;  	[sound:cmn-抱负.mp3]
豹	豹	bào	leopard; panther;  	[sound:cmn-豹.mp3]
暴风骤雨	暴風驟雨	bào fēng zhoù yǔ	violent wind and rainstorm; hurricane; tempest;  	[sound:cmn-暴风骤雨.mp3]
暴利	暴利	bào lì	sudden huge profits;  	[sound:cmn-暴利.mp3]
暴躁	暴躁	bào zào	irascible; irritable; violent;  	[sound:cmn-暴躁.mp3]
曝光	曝光	bào guāng	to expose (photography); (fig.) to expose (a scandal); (advertising) exposure; Taiwan pr. [pu4 guang1];  	[sound:cmn-曝光.mp3]
爆冷门	爆冷門	bào lěng mén	an upset (esp. in sports); unexpected turn of events; to pull off a coup; a breakthrough;  	[sound:cmn-爆冷门.mp3]
爆满	爆滿	bào mǎn	filled to capacity (of theater, stadium, gymnasium etc);  	[sound:cmn-爆满.mp3]
爆竹	爆竹	bào zhú	firecracker;  	[sound:cmn-爆竹.mp3]
卑鄙	卑鄙	bēi bǐ	base; mean; contemptible; despicable;  	[sound:cmn-卑鄙.mp3]
悲哀	悲哀	bēi āi	grieved; sorrowful;  	[sound:cmn-悲哀.mp3]
悲观	悲觀	bēi guān	pessimistic;  	[sound:cmn-悲观.mp3]
悲欢离合	悲歡離閤	bēi huān lí hé	joys and sorrows; partings and reunions; the vicissitudes of life;  	[sound:cmn-悲欢离合.mp3]
悲痛	悲痛	bēi tòng	grieved; sorrowful;  	[sound:cmn-悲痛.mp3]
碑	碑	bēi	a monument; an upright stone tablet; stele; CL:塊|块[kuai4],面[mian4];  	[sound:cmn-碑.mp3]
贝壳	貝殼	bèi ké	shell; conch; cowry; mother of pearl; hard outer skin; also pr. [bei4 qiao4];  	[sound:cmn-贝壳.mp3]
备课	備課	bèi kè	(of a teacher) to prepare lessons;  	[sound:cmn-备课.mp3]
备受	備受	bèi shoù	to fully experience (good or bad);  	[sound:cmn-备受.mp3]
备用	備用	bèi yòng	reserve; spare; alternate; backup;  	[sound:cmn-备用.mp3]
背面	背麵	bèi miàn	the back; the reverse side; the wrong side;  	[sound:cmn-背面.mp3]
背叛	背叛	bèi pàn	to betray;  	[sound:cmn-背叛.mp3]
背诵	背誦	bèi sòng	to recite; to repeat from memory;  	[sound:cmn-背诵.mp3]
被捕	被捕	bèi bǔ	to be arrested; under arrest;  	[sound:cmn-被捕.mp3]
奔波	奔波	bēn bō	to rush about; to be constantly on the move;  	[sound:cmn-奔波.mp3]
奔赴	奔赴	bēn fù	to rush to; to hurry to;  	[sound:cmn-奔赴.mp3]
本分	本分	běn fèn	(to play) one's part; one's role; one's duty; (to stay within) one's bounds; dutiful; keeping to one's role;  	[sound:cmn-本分.mp3]
本能	本能	běn néng	instinct;  	[sound:cmn-本能.mp3]
本钱	本錢	běn qián	capital; (fig.) asset; advantage; the means (to do sth);  	[sound:cmn-本钱.mp3]
本色	本色	běn sè, běn shǎi	inherent qualities; natural qualities; distinctive character; true qualities;  natural color;  	[sound:cmn-本色.mp3]
本性	本性	běn xìng	natural instincts; nature; inherent quality;  	[sound:cmn-本性.mp3]
本意	本意	běn yì	original idea; real intention; etymon;  	[sound:cmn-本意.mp3]
本着	本著	běn zhe	based on...; in conformance with..; taking as one's main principle;  	[sound:cmn-本着.mp3]
奔	奔	bēn, bèn, bēn, bēn	variant of 奔[ben1]; variant of 奔[ben4];  to go to; to head for; towards;  	[sound:cmn-奔.mp3]
笨蛋	笨蛋	bèn dàn	fool; idiot;  	[sound:cmn-笨蛋.mp3]
笨重	笨重	bèn zhòng	heavy; cumbersome; unwieldy;  	[sound:cmn-笨重.mp3]
崩溃	崩潰	bēng kuì	to collapse; to crumble; to fall apart;  	[sound:cmn-崩溃.mp3]
绷	綳	bēng, bēng, běng	to stretch; taut; to tie; to bind;  to have a taut face;  	[sound:cmn-绷.mp3]
绷带	綳帶	bēng dài	bandage (loanword);  	[sound:cmn-绷带.mp3]
蹦	蹦	bèng	to jump; to bounce; to hop;  	[sound:cmn-蹦.mp3]
逼近	逼近	bī jìn	to press on towards; to close in on; to approach; to draw near;  	[sound:cmn-逼近.mp3]
逼迫	逼迫	bī pò	to force; to compel; to coerce;  	[sound:cmn-逼迫.mp3]
逼真	逼真	bī zhēn	lifelike; true to life; distinctly; clearly;  	[sound:cmn-逼真.mp3]
鼻涕	鼻涕	bí tì	nasal mucus; snivel;  	[sound:cmn-鼻涕.mp3]
比比皆是	比比皆是	bǐ bǐ jiē shì	can be found everywhere;  	[sound:cmn-比比皆是.mp3]
比不上	比不上	bǐ bù shàng	can't compare with;  	[sound:cmn-比不上.mp3]
比起	比起	bǐ qǐ	compared with;  	[sound:cmn-比起.mp3]
比试	比試	bǐ shì	to have a competition; to measure with one's hand or arm; to make a gesture of measuring;  	[sound:cmn-比试.mp3]
比喻	比喻	bǐ yù	to compare; to liken to; metaphor; analogy; figure of speech; figuratively;  	[sound:cmn-比喻.mp3]
鄙视	鄙視	bǐ shì	to despise; to disdain; to look down upon;  	[sound:cmn-鄙视.mp3]
必不可少	必不可少	bì bù kě shǎo	absolutely necessary; indispensable; essential;  	[sound:cmn-必不可少.mp3]
必定	必定	bì dìng	to be bound to; to be sure to;  	[sound:cmn-必定.mp3]
碧绿	碧綠	bì lǜ	dark green;  	[sound:cmn-碧绿.mp3]
弊病	弊病	bì bìng	malady; evil; malpractice; drawback; disadvantage;  	[sound:cmn-弊病.mp3]
弊端	弊端	bì duān	malpractice; abuse; corrupt practice;  	[sound:cmn-弊端.mp3]
壁画	壁畫	bì huà	mural (painting); fresco;  	[sound:cmn-壁画.mp3]
避难	避難	bì nàn	refuge; to take refuge; to seek asylum (political etc);  	[sound:cmn-避难.mp3]
